USDZAR,GBPZAR,EURZAR,GBPCNY,EURUSD,GBPUSD,NVDA.Close,AAPL.Close,AMZN.Close,DJT.Close,PDCO.Close,MLGO.Close
18.2727,23.1488,19.5455,9.2137,1.0689,1.26565,126.4000015,213.25,193.6100006,39.25,23.80999947,331.6000061
18.1416,23.0353,19.4677,9.2371,1.0714,1.26875,126.0899963,209.0700073,186.3399963,36.36999893,24.18000031,293.7999878
18.0766,22.8868,19.3709,9.2416,1.073,1.2664,118.1100006,208.1399994,185.5700073,33.52000046,24.51000023,300
17.9574,22.7144,19.1821,9.2061,1.0688,1.26335,126.5699997,207.4900055,189.0800018,27.65999985,24.30999947,77.19999695
18.1006,22.9905,19.4002,9.2464,1.0719,1.2694,130.7799988,209.6799927,186.1000061,26.75,24.13999939,81.40000153
18.1888,23.0588,19.4966,9.2297,1.0715,1.2689,135.5800018,214.2899933,182.8099976,31.30999947,25.37999916,81.59999847
18.3748,23.3874,19.6684,9.2144,1.0686,1.27055,131.8800049,212.4900055,183.6600037,37.04999924,22.62999916,80.40000153
18.4154,23.5644,19.9089,9.2787,1.0784,1.27755,129.6100006,214.2400055,183.8300018,39.93000031,22.87999916,89.80000305
18.5517,23.6637,19.9487,9.3144,1.0765,1.27615,125.1999969,213.0700073,186.8899994,40.93000031,22.86000061,87.59999847
18.6746,23.769,20.092,9.2466,1.073,1.2743,120.9100037,207.1499939,187.2299957,39.31000137,22.84000015,78.40000153
18.7813,23.8813,20.2049,9.2432,1.0756,1.26965,121.7900009,193.1199951,187.0599976,42.09000015,23.21999931,88.59999847
18.8447,24.0939,20.5134,9.2424,1.0898,1.2792,120.8880005,196.8899994,184.3000031,44.59000015,23.78000069,88.59999847
18.9072,24.1719,20.5616,9.2778,1.0865,1.27805,120.9980011,194.4799957,185,46.02000046,23.85000038,111.8000031
18.8029,24.0207,20.45,9.2615,1.0872,1.27715,122.4400024,195.8699951,181.2799988,46.75,24.29000092,139.3999939
18.7345,23.9352,20.3737,9.2602,1.0865,1.2753,116.4369965,194.3500061,179.3399963,45.49000168,24.5,240.1999969
18.6978,23.7669,20.2628,9.2669,1.0842,1.27145,115,194.0299988,178.3399963,46.74000168,24.59000015,31.20000076
18.8538,23.9764,20.4205,9.2525,1.0852,1.2722,109.6330032,192.25,176.4400024,49.09000015,24.59000015,33.79999924
18.6982,23.7692,20.224,9.239,1.0815,1.27135,110.5,191.2899933,179.3200073,51.84000015,24.20999908,34.79999924
18.3762,23.4572,19.9786,9.2808,1.0882,1.27795,113.901001,189.9900055,182.1499939,49.93000031,23.97999954,38.79999924
18.4186,23.388,19.929,9.2505,1.084,1.27215,106.4690018,189.9799957,180.75,45.81000137,23.94000053,37
18.3669,23.3847,19.9134,9.227,1.0854,1.27255,103.7990036,186.8800049,181.0500031,43.90999985,23.80999947,38
18.1871,23.1449,19.7294,9.2308,1.083,1.27235,94.94999695,190.8999939,183.1300049,44.59000015,24.47999954,40.20000076
18.1951,23.1259,19.7644,9.2204,1.0864,1.27165,95.38600159,192.3500061,183.1499939,44.18999863,24.80999947,40.79999924
18.1335,23.0268,19.7166,9.2069,1.0861,1.27025,94.77999878,191.0399933,183.5399933,48.38000107,25.21999931,46
18.2194,23.0394,19.7553,9.1801,1.0844,1.265,92.47899628,189.8699951,184.6999969,50.91500092,25.76000023,48
18.2314,23.1082,19.8193,9.153,1.0866,1.2669,94.35900116,189.8399963,183.6300049,52.15000153,25.85000038,47.40000153
18.3385,23.1203,19.8698,9.1359,1.0832,1.26055,94.62999725,189.7200012,185.9900055,52.50999832,25.82999992,49
18.4415,23.0916,19.8818,9.1118,1.0796,1.25555,91.35600281,187.4299927,187.0700073,53.40000153,25.44000053,49.20000076
18.3984,23.0394,19.8297,9.0931,1.0795,1.25335,90.39900208,186.2799988,186.5700073,51.65000153,25.55999947,45.40000153
18.4012,23.0622,19.842,9.0464,1.0779,1.2532,89.87799835,183.0500031,187.4799957,50.99000168,25.29999924,45.20000076
18.543,23.1315,19.893,9.0387,1.0732,1.246,88.74700165,184.5700073,189.5,54.38999939,26.29999924,49.59999847
18.5895,23.1988,19.98,9.0324,1.0743,1.2498,90.41200256,182.7400055,188,49.25999832,25.87000084,49
18.4723,23.1633,19.8817,9.0679,1.0766,1.2543,90.55400085,182.3999939,188.7599945,47.66999817,26.02000046,48.79999924
18.5622,23.3104,19.9358,9.0185,1.0744,1.25585,88.78900146,183.3800049,186.2100067,47.93000031,25.65999985,48.40000153
18.5663,23.2385,19.8826,9.0275,1.0698,1.25115,85.81700134,173.0299988,184.7200012,48.68000031,25.43000031,49.20000076
18.7061,23.45,20.0165,9.0803,1.0718,1.25405,86.40200043,170.3300018,175,49.93000031,25.46999931,49.59999847
18.797,23.564,20.1485,9.0918,1.072,1.25305,87.75700378,173.5,180.9600067,46.68999863,26,49.20000076
18.9895,23.7891,20.41,9.054,1.0714,1.25135,87.73500061,169.3000031,179.6199951,41.54000092,25.77000046,48.40000153
19.083,23.8842,20.4684,9.068,1.072,1.2507,82.63200378,169.8899994,173.6699982,38.49000168,25.79999924,49.40000153
19.1262,23.77,20.4411,9.0405,1.0686,1.24395,79.67700195,169.0200043,176.5899963,35.66999817,26.18000031,51.79999924
19.1992,23.7513,20.5,9.0272,1.0674,1.23515,82.42299652,166.8999939,179.5399933,32.56999969,25.96999931,46.40000153
19.0886,23.6021,20.3389,8.9407,1.0632,1.23255,79.51799774,165.8399963,177.2299957,35.5,25.90999985,47.70000076
19.2467,23.9419,20.4939,9.0122,1.0653,1.24355,76.19999695,165,174.6300049,36.38000107,26.02000046,47
19.0337,23.7341,20.3204,9.0229,1.0679,1.24785,84.67099762,167.0399933,179.2200012,33.18999863,25.46999931,49.40000153
18.9641,23.6502,20.1798,9.0309,1.0638,1.24565,84.03500366,168,181.2799988,26.39999962,25.72999954,47.20000076
19.1086,23.7769,20.2819,9.041,1.0637,1.24475,87.41500092,169.3800049,183.3200073,22.84000015,25.62999916,51.20000076
18.8782,23.5581,20.1185,9.0412,1.0656,1.24945,86.00099945,172.6900024,183.6199951,26.61000061,25.35000038,49.59999847
18.6866,23.3872,19.9573,9.0357,1.0652,1.24705,88.18599701,176.5500031,186.1300049,32.59000015,25.45999908,56
18.8005,23.6219,20.2049,9.0891,1.0729,1.254,90.61599731,175.0399933,189.0500031,32.40999985,25.72999954,60.59999847
18.5726,23.5668,20.1662,9.1176,1.086,1.2698,87.03900146,167.7799988,185.9499969,34.25999832,25.67000008,62
18.5259,23.4372,20.1099,9.1782,1.0867,1.26855,85.35399628,169.6699982,185.6699982,37.47000122,26.54999924,64.19999695
18.6186,23.5014,20.1603,9.1609,1.0823,1.26335,87.13300323,168.4499969,185.1900024,37.16999817,26.20000076,70.19999695
18.6668,23.5612,20.2273,9.1483,1.0841,1.26325,88.00800323,169.5800018,185.0700073,40.59000015,26.25,74.19999695
18.6154,23.5718,20.2145,9.1771,1.0852,1.26605,85.90499878,168.8200073,180,46.15000153,26.36000061,73.80000305
18.8532,23.7022,20.3049,9.1535,1.0783,1.2579,88.96399689,169.6499939,182.4100037,48.81000137,26.54000092,80.19999695
18.8384,23.661,20.2136,9.1184,1.0749,1.2566,89.45200348,168.8399963,180.6900024,51.59999847,26.40999985,74.80000305
18.9926,23.9469,20.4987,9.1722,1.0811,1.26125,90.35600281,171.4799957,180.3800049,61.95999908,27.64999962,76.59999847
18.9455,23.9102,20.5066,9.1629,1.0816,1.26135,90.25,173.3099976,179.8300018,66.22000122,27.79000092,83
18.9041,23.9155,20.5034,9.1531,1.0855,1.26535,92.56099701,169.7100067,178.3000031,57.99000168,27.04000092,90.59999847
19.0001,23.961,20.5562,9.1648,1.0835,1.26385,95.0019989,170.8500061,179.7100067,49.95000076,27.13999939,96.40000153
18.9907,23.9074,20.5366,9.1621,1.0823,1.2583,94.28900146,172.2799988,178.8699951,36.93999863,27.26000023,80.40000153
18.9522,24.074,20.5764,9.1753,1.0844,1.26935,90.37200165,178.6699982,178.1499939,42.90000153,27.36000061,92.80000305
19.0145,24.1313,20.6288,9.1696,1.0854,1.2693,89.39800262,176.0800018,175.8999939,36.41999817,26.87000084,90.80000305
18.7722,23.9233,20.4542,9.1765,1.0892,1.27445,88.45500183,173.7200012,174.4799957,35.57500076,26.78000069,96
18.6815,23.8208,20.346,9.1804,1.0892,1.27545,87.83699799,172.6199951,174.4199982,38.97999954,27.21999931,102
18.6221,23.8586,20.3763,9.1764,1.0925,1.28095,87.94400024,173,178.75,41.08000183,26.82999992,104.1999969
18.6934,23.9257,20.4338,9.2057,1.0939,1.28085,90.88800049,171.1300049,176.5599976,40.18999863,27.07999992,107.4000015
18.6281,23.8142,20.3531,9.1888,1.0916,1.2792,91.91300201,173.2299957,175.3899994,40.18999863,26.95999908,116
18.6958,23.9942,20.4607,9.1975,1.0926,1.28505,85.77400208,172.75,171.9600067,39.09000015,27.15999985,120
18.6616,23.913,20.4027,9.2678,1.0932,1.28295,87.52799988,170.7299957,175.3500061,39.97999954,27.17000008,113.5999985
18.7824,23.9259,20.4578,9.2127,1.0895,1.2755,92.66899872,169,176.8200073,41.27000046,27.02000046,116.4000015
18.8893,24.0225,20.5289,9.1864,1.0874,1.27265,88.69999695,169.1199951,173.5099945,40.18999863,26.85000038,134.3999939
